@RELATION BearingFaultTestingDataset

@ATTRIBUTE Motor_Load_(HP) REAL
@ATTRIBUTE Time REAL
@ATTRIBUTE Amplitude REAL
@ATTRIBUTE Raw/Envelope_Spectrum REAL
@ATTRIBUTE Frequency REAL
@ATTRIBUTE pk_pk1 REAL
@ATTRIBUTE pk_pk2 REAL
@ATTRIBUTE pk_pk3 REAL
@ATTRIBUTE pk_pk4 REAL
@ATTRIBUTE pk_pk5 REAL
@ATTRIBUTE pk_pk6 REAL
@ATTRIBUTE pk_pk7 REAL
@ATTRIBUTE pk_pk8 REAL
@ATTRIBUTE pk_pk9 REAL
@ATTRIBUTE pk_pk10 REAL
@ATTRIBUTE Kur REAL
@ATTRIBUTE SF REAL
@ATTRIBUTE E REAL
@ATTRIBUTE MF REAL
@ATTRIBUTE S REAL
@ATTRIBUTE CF REAL
@ATTRIBUTE rdate REAL
@ATTRIBUTE hourlocal REAL
@ATTRIBUTE minlocal REAL
@ATTRIBUTE daylocal REAL
@ATTRIBUTE rxasp REAL
@ATTRIBUTE rxhep REAL
@ATTRIBUTE dasp14 REAL
@ATTRIBUTE dasplt REAL
@ATTRIBUTE dlh14 REAL
@ATTRIBUTE dmh14 REAL
@ATTRIBUTE dhh14 REAL
@ATTRIBUTE ondrug REAL
@ATTRIBUTE dsch REAL
@ATTRIBUTE divh REAL
@ATTRIBUTE dap REAL
@ATTRIBUTE doac REAL
@ATTRIBUTE dgorm REAL
@ATTRIBUTE dster REAL
@ATTRIBUTE dcaa REAL
@ATTRIBUTE dhaemd REAL
@ATTRIBUTE dcarend REAL
@ATTRIBUTE dthromb REAL
@ATTRIBUTE dmajnch REAL
@ATTRIBUTE dmajnchd REAL
@ATTRIBUTE dmajnchx REAL
@ATTRIBUTE dside REAL
@ATTRIBUTE dsided REAL
@ATTRIBUTE dsidex REAL
@ATTRIBUTE ddiagisc REAL
@ATTRIBUTE ddiagha REAL
@ATTRIBUTE ddiagun REAL
@ATTRIBUTE dnostrk REAL
@ATTRIBUTE dnostrkx REAL
@ATTRIBUTE drsisc REAL
@ATTRIBUTE drsiscd REAL
@ATTRIBUTE drsh REAL
@ATTRIBUTE drshd REAL
@ATTRIBUTE drsunk REAL
@ATTRIBUTE drsunkd REAL
@ATTRIBUTE dpe REAL
@ATTRIBUTE dped REAL
@ATTRIBUTE dalive REAL
@ATTRIBUTE dalived REAL
@ATTRIBUTE dplace REAL
@ATTRIBUTE ddead REAL
@ATTRIBUTE ddeadd REAL
@ATTRIBUTE ddeadc REAL
@ATTRIBUTE ddeadx REAL
@ATTRIBUTE fdead REAL
@ATTRIBUTE flastd REAL
@ATTRIBUTE fdeadd REAL
@ATTRIBUTE fdeadc REAL
@ATTRIBUTE fdeadx REAL
@ATTRIBUTE frecover REAL
@ATTRIBUTE fdennis REAL
@ATTRIBUTE fplace REAL
@ATTRIBUTE fap REAL
@ATTRIBUTE foac REAL
@ATTRIBUTE IF1 REAL
@ATTRIBUTE IF2 REAL
@ATTRIBUTE IF3 REAL
@ATTRIBUTE IF4 REAL
@ATTRIBUTE IF5 REAL
@ATTRIBUTE IF6 REAL
@ATTRIBUTE IF7 REAL
@ATTRIBUTE IF8 REAL
@ATTRIBUTE IF9 REAL
@ATTRIBUTE IF10 REAL
@ATTRIBUTE Skew1 REAL
@ATTRIBUTE Skew2 REAL
@ATTRIBUTE Skew3 REAL
@ATTRIBUTE Skew4 REAL
@ATTRIBUTE Skew5 REAL
@ATTRIBUTE Skew6 REAL
@ATTRIBUTE Skew7 REAL
@ATTRIBUTE Skew8 REAL
@ATTRIBUTE Skew9 REAL
@ATTRIBUTE Skew10 REAL
@ATTRIBUTE Approx_Motor_Speed_(rpm) REAL
@ATTRIBUTE Fault_Diameter REAL
@ATTRIBUTE Inner_Race REAL
@ATTRIBUTE Ball REAL
@ATTRIBUTE Angle_of_contact_(α) REAL
@ATTRIBUTE Pitch_diameter_(Pd) REAL
@ATTRIBUTE Number_of_balls REAL
@ATTRIBUTE Number_of_rows REAL
@ATTRIBUTE Ball_diameter REAL
@ATTRIBUTE Outer_Race_Centered REAL
@ATTRIBUTE Outer_Race_Orthogonal REAL
@ATTRIBUTE Outer_Race_Opposite REAL
@ATTRIBUTE BearingConditions {Healthy,Inner_race_defect,Outer_race_defect,Ball_defect}

@DATA
30,40,2,1,52,1,1,2,2,1,1,160,2,2,1,2,2,1,1,1,0,13,12,9,2,2,1,2,2,1,1,1,11,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,11,175,2,7,11,1,2,2,0,175,0.3744,0.0555,0.032,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
37,9,2,1,75,2,1,1,1,1,1,150,2,2,1,1,1,1,1,1,0,13,17,27,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,49,207,5,14,28,1,2,2,0,207,0.42,0.1118,0.0295,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
26,12,2,2,88,1,1,2,1,1,1,180,2,2,2,1,1,2,1,1,0,13,20,31,2,2,1,2,1,1,1,1,10,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,10,5,1,1,1,1,1,1,1,1,1,1,2,2,2,1,20,176,8,28,13,1,2,2,0,176,0.8403,0.3011,0.0683,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,33,2,2,72,2,1,1,1,1,1,140,2,2,2,2,3,2,2,1,0,13,17,31,3,1,2,1,2,1,1,2,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,15,182,7,27,15,1,2,2,0,182,0.873,0.3046,0.1207,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
25,4,2,1,65,2,1,2,2,1,1,160,2,2,2,2,2,1,1,1,1,13,11,51,4,2,2,2,2,1,1,2,14,1,1,2,1,1,1,1,1,1,1,1,1,1,2,0,31,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,33,183,0,1,15,1,2,2,0,183,0.5958,0.1541,0.0621,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
3,19,2,1,61,1,1,2,2,1,1,150,2,2,2,1,1,1,1,1,0,13,9,49,4,1,1,1,2,1,1,1,14,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,26,190,5,14,15,1,2,2,0,190,0.3482,0.0675,0.0286,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
30,4,2,2,68,1,1,2,2,1,1,200,1,1,1,1,1,1,2,1,0,13,10,16,4,1,3,1,1,2,1,1,14,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,100,5,1,1,1,1,1,1,14,201,2,7,14,1,2,2,1,100,0.3,0.0466,0.0152,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,?
13,48,2,1,61,2,1,2,2,1,1,150,2,2,1,1,1,1,2,1,0,13,9,38,5,2,3,2,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,6,5,1,1,1,1,1,1,1,1,1,2,1,2,2,1,46,243,3,9,6,1,2,1,0,243,0.3528,0.0695,0.0289,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
38,1,2,2,82,1,1,2,2,2,1,140,1,1,1,1,1,1,2,1,0,13,19,48,5,2,1,2,1,1,1,1,14,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,43,198,5,14,40,1,2,2,0,198,0.5092,0.1035,0.0219,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
4,4,1,2,71,1,1,1,1,1,1,170,2,2,2,2,2,3,3,1,0,13,11,59,6,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,17,17,7,27,13,1,2,2,1,2,0.9488,0.5314,0.3079,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
