@RELATION BearingFaultTrainingDataset

@ATTRIBUTE Motor_Load_(HP) REAL
@ATTRIBUTE Time REAL
@ATTRIBUTE Amplitude REAL
@ATTRIBUTE Raw/Envelope_Spectrum REAL
@ATTRIBUTE Frequency REAL
@ATTRIBUTE pk_pk1 REAL
@ATTRIBUTE pk_pk2 REAL
@ATTRIBUTE pk_pk3 REAL
@ATTRIBUTE pk_pk4 REAL
@ATTRIBUTE pk_pk5 REAL
@ATTRIBUTE pk_pk6 REAL
@ATTRIBUTE pk_pk7 REAL
@ATTRIBUTE pk_pk8 REAL
@ATTRIBUTE pk_pk9 REAL
@ATTRIBUTE pk_pk10 REAL
@ATTRIBUTE Kur REAL
@ATTRIBUTE SF REAL
@ATTRIBUTE E REAL
@ATTRIBUTE MF REAL
@ATTRIBUTE S REAL
@ATTRIBUTE CF REAL
@ATTRIBUTE rdate REAL
@ATTRIBUTE hourlocal REAL
@ATTRIBUTE minlocal REAL
@ATTRIBUTE daylocal REAL
@ATTRIBUTE rxasp REAL
@ATTRIBUTE rxhep REAL
@ATTRIBUTE dasp14 REAL
@ATTRIBUTE dasplt REAL
@ATTRIBUTE dlh14 REAL
@ATTRIBUTE dmh14 REAL
@ATTRIBUTE dhh14 REAL
@ATTRIBUTE ondrug REAL
@ATTRIBUTE dsch REAL
@ATTRIBUTE divh REAL
@ATTRIBUTE dap REAL
@ATTRIBUTE doac REAL
@ATTRIBUTE dgorm REAL
@ATTRIBUTE dster REAL
@ATTRIBUTE dcaa REAL
@ATTRIBUTE dhaemd REAL
@ATTRIBUTE dcarend REAL
@ATTRIBUTE dthromb REAL
@ATTRIBUTE dmajnch REAL
@ATTRIBUTE dmajnchd REAL
@ATTRIBUTE dmajnchx REAL
@ATTRIBUTE dside REAL
@ATTRIBUTE dsided REAL
@ATTRIBUTE dsidex REAL
@ATTRIBUTE ddiagisc REAL
@ATTRIBUTE ddiagha REAL
@ATTRIBUTE ddiagun REAL
@ATTRIBUTE dnostrk REAL
@ATTRIBUTE dnostrkx REAL
@ATTRIBUTE drsisc REAL
@ATTRIBUTE drsiscd REAL
@ATTRIBUTE drsh REAL
@ATTRIBUTE drshd REAL
@ATTRIBUTE drsunk REAL
@ATTRIBUTE drsunkd REAL
@ATTRIBUTE dpe REAL
@ATTRIBUTE dped REAL
@ATTRIBUTE dalive REAL
@ATTRIBUTE dalived REAL
@ATTRIBUTE dplace REAL
@ATTRIBUTE ddead REAL
@ATTRIBUTE ddeadd REAL
@ATTRIBUTE ddeadc REAL
@ATTRIBUTE ddeadx REAL
@ATTRIBUTE fdead REAL
@ATTRIBUTE flastd REAL
@ATTRIBUTE fdeadd REAL
@ATTRIBUTE fdeadc REAL
@ATTRIBUTE fdeadx REAL
@ATTRIBUTE frecover REAL
@ATTRIBUTE fdennis REAL
@ATTRIBUTE fplace REAL
@ATTRIBUTE fap REAL
@ATTRIBUTE foac REAL
@ATTRIBUTE IF1 REAL
@ATTRIBUTE IF2 REAL
@ATTRIBUTE IF3 REAL
@ATTRIBUTE IF4 REAL
@ATTRIBUTE IF5 REAL
@ATTRIBUTE IF6 REAL
@ATTRIBUTE IF7 REAL
@ATTRIBUTE IF8 REAL
@ATTRIBUTE IF9 REAL
@ATTRIBUTE IF10 REAL
@ATTRIBUTE Skew1 REAL
@ATTRIBUTE Skew2 REAL
@ATTRIBUTE Skew3 REAL
@ATTRIBUTE Skew4 REAL
@ATTRIBUTE Skew5 REAL
@ATTRIBUTE Skew6 REAL
@ATTRIBUTE Skew7 REAL
@ATTRIBUTE Skew8 REAL
@ATTRIBUTE Skew9 REAL
@ATTRIBUTE Skew10 REAL
@ATTRIBUTE Approx_Motor_Speed_(rpm) REAL
@ATTRIBUTE Fault_Diameter REAL
@ATTRIBUTE Inner_Race REAL
@ATTRIBUTE Ball REAL
@ATTRIBUTE Angle_of_contact_(α) REAL
@ATTRIBUTE Pitch_diameter_(Pd) REAL
@ATTRIBUTE Number_of_balls REAL
@ATTRIBUTE Number_of_rows REAL
@ATTRIBUTE Ball_diameter REAL
@ATTRIBUTE Outer_Race_Centered REAL
@ATTRIBUTE Outer_Race_Orthogonal REAL
@ATTRIBUTE Outer_Race_Opposite REAL
@ATTRIBUTE BearingConditions {Healthy,Inner_race_defect,Outer_race_defect,Ball_defect}

@DATA
1,17,1,1,69,2,1,2,2,1,1,140,1,1,1,2,1,2,1,2,0,23,99,99,4,2,1,2,2,1,1,1,14,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,5,1,1,14,187,7,27,1,13,2,2,0,187,0.698,0.2344,0.1054,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inner_race_defect
1,10,2,1,76,2,1,2,1,1,1,150,2,2,2,1,1,1,1,1,0,23,99,99,7,1,3,1,2,2,1,1,14,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1,16,192,7,27,1,1,2,2,0,192,0.5389,0.1555,0.0421,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
1,43,2,2,71,1,1,2,1,1,1,170,2,2,2,1,1,1,1,1,0,23,99,99,3,2,1,2,2,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1,11,189,7,27,1,1,2,2,0,189,0.5275,0.1009,0.0323,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
1,6,2,1,81,1,1,1,1,1,1,170,1,1,1,2,1,1,1,1,0,23,99,99,7,1,2,1,2,1,1,2,14,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,16,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1,23,183,7,27,1,1,2,2,0,183,0.4021,0.1147,0.0244,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inner_race_defect
4,20,2,1,78,1,1,1,1,1,1,170,2,2,2,1,1,1,1,1,0,11,99,99,6,2,2,2,2,1,1,2,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,5,1,1,17,214,7,27,1,1,2,2,0,214,0.56,0.1709,0.0441,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
1,39,2,1,54,1,1,2,1,1,1,135,2,2,2,1,1,1,1,1,0,11,99,99,2,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,7,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,16,185,7,27,1,1,2,2,0,185,0.3132,0.0471,0.0244,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
1,4,2,2,77,1,1,1,1,1,1,140,2,2,2,1,1,1,2,1,1,11,99,99,1,2,1,2,2,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,2,14,27,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,15,194,7,27,15,1,2,2,0,194,0.7285,0.1873,0.053,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outer_race_defect
1,24,2,1,23,1,1,2,1,1,1,120,1,1,1,1,1,1,1,2,0,11,99,99,2,1,3,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,11,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,37,193,7,27,1,1,2,2,0,193,0.15,0.0038,0.0054,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
1,18,2,1,47,1,1,1,1,1,1,150,1,1,1,1,1,1,1,2,0,11,99,99,2,2,2,2,2,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,23,193,7,27,1,1,2,2,0,193,0.1334,0.0162,0.0102,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy
1,13,2,1,81,2,1,1,1,1,1,170,1,1,1,1,1,2,1,2,0,11,99,99,2,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,14,1,1,1,0,1,1,1,1,1,1,1,2,2,1,1,42,189,7,27,1,1,2,2,0,189,0.4964,0.1476,0.0337,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inner_race_defect
